description,category,confidence
"Apocalyptic World is a turn-based card game that combines AI-driven agents and random elements to create a dynamic and immersive experience. Each game is unique, with unpredictable outcomes, strategic depth, and engaging AI interactions.",Gaming,0.95
"The snowfish agent is a smart contract development AI Agent for move developers base on Eliza OS and Sui Blockchain.  
It provides the following crucial features for move developers: 
* move module analysis
* move typescript test framework
* move on-chain code generatation
* move security scan tool",Infrastructure,0.95
"🚩 Overview
DeepSynth is a cutting-edge DeFAI (Decentralized Financial AI) agent built on the SUI blockchain. Automated trading, portfolio optimization, and real-time market analysis are revolutionized by seamlessly integrating neural networks with decentralized finance (DeFi) protocols. The platform leverages blockchain-native AI to deliver trustless, transparent, and efficient financial operations while maintaining complete decentralization.

✨ Features
🤖 AI-Powered Trading: DeepSynth uses advanced AI algorithms to analyze market data, identify trading opportunities, and execute trades automatically.
🔗 DeFi Integration: DeepSynth is built on the SUI blockchain, enabling seamless integration with decentralized finance (DeFi) protocols and applications.
📊 Automated Portfolio Management: DeepSynth can automatically rebalance your portfolio based on your investment goals and risk tolerance.
📈 Financial Analysis: DeepSynth provides detailed financial analysis and insights to help you make informed investment decisions.
🔒 Secure and Transparent: DeepSynth is built on the SUI blockchain, providing security, transparency, and immutability for your financial transactions",DeFi,0.95
"# SuiGuard: AI-Powered Security Agent for NFT Scam Detection


## Sui Agent Typhoon


### Project Overview


SuiGuard is an intelligent AI agent that protects the Sui ecosystem from NFT-related scams and fraudulent activities. By leveraging GPT-4V's multimodal capabilities, our agent provides real-time security analysis of NFT listings, protecting users from sophisticated scams that traditional rule-based systems might miss.

### Why This Matters

- NFT scams resulted in millions of dollars in losses across blockchains in 2023
- Traditional security measures can't keep up with evolving scam tactics
- Manual verification is time-consuming and error-prone
- Current solutions lack AI-powered visual and contextual analysis

### Technical Architecture


#### 1. AI Agent Core

- Integration with GPT-4V for multimodal analysis
- Custom-trained security policies for blockchain-specific threats
- Real-time image and metadata validation
- Pattern recognition for suspicious hosting patterns

#### 2. Sui Integration

- Direct integration with Sui blockchain using Move
- Real-time monitoring of NFT object creation and transfers
- Kiosk integration for marketplace safety
- zkLogin integration for secure reporting

#### 3. Reporting System

- Automated threat categorization
- Google Sheets integration for transparent tracking
- Community-driven reporting mechanism
- Real-time alerts for marketplace operators

### Innovation Points

1. **Multi-Modal Analysis**
	- Visual content verification using GPT-4V
	- Text analysis of NFT metadata and descriptions
	- URL and hosting pattern analysis
	- Cross-referencing with known scam patterns
2. **Automated Classification**
	- Predefined security categories (S1: Fraudulent content)
	- Machine learning-based pattern detection
	- Confidence scoring system
	- False positive minimization
3. **Real-Time Protection**
	- Instant analysis of new NFT listings
	- Proactive scam detection
	- Automated marketplace alerts
	- User warning system

### Technical Implementation


```go
// Example of our core validation logic
func ValidateNFTImage(title, description, imageUrl string) (isSafe bool, invalidateCategories []string, err error) {
    // Multi-modal AI analysis using GPT-4V
    // URL pattern analysis
    // Hosting verification
    // Scam pattern detection
}
```


### Unique Selling Points

1. **First AI-Native Security Solution for Sui**
	- Purpose-built for the Sui ecosystem
	- Deep integration with Sui primitives
	- Optimized for NFT marketplaces
2. **Community-Driven Security**
	- Transparent reporting system
	- Community feedback integration
	- Continuous learning from new threats
3. **Enterprise-Grade Security**
	- Production-ready implementation
	- Scalable architecture
	- Comprehensive API support

### Why We'll Win

1. **Production-Ready Code**
	- We already have working implementation
	- Proven AI integration
	- Scalable architecture
2. **Real Problem Solution**
	- Addresses critical security needs
	- Protects user assets
	- Enhances ecosystem trust
3. **Innovation in AI + Blockchain**
	- Novel use of GPT-4V
	- Blockchain-specific security
	- Community-driven approach

### Team Expertise

- Blockchain Security Specialists
- AI/ML Engineers
- Full-Stack Developers
- UX Designers

### Future Vision

1. **Expansion to Other Asset Types**
	- Smart contract security
	- DeFi protocol protection
	- Cross-chain asset verification
2. **Enhanced AI Capabilities**
	- Custom model training
	- Advanced threat detection
	- Automated response systems
3. **Ecosystem Integration**
	- Marketplace APIs
	- Wallet integration
	- Developer tools
",Security,0.95
"Meet Toby 🤖

As an active liquidity provider diving deep into DeFi pools, I've felt the pain of managing LP positions without proper tools. Tracking performance, analyzing IL, finding the best pools - it's a jungle out there! That's why I created Toby, an AI agent that makes LP management actually make sense.

Built on the Eliza framework, Toby introduces two custom integrations for this proof of concept:

SUI Plugin Integration:
- Enables direct interaction with SUI blockchain
- Manages LP position creation and tracking
- Foundation for future automated management features

DeFiLlama Plugin:
- Provides comprehensive market data analytics
- Tracks pool performance metrics
- Enables data-driven decision making

Current Proof of Concept Capabilities:
- Opens LP positions directly through Toby's wallet, demonstrating potential for automated position management
- Fetches and displays users' open positions on Cetus, laying groundwork for future PnL analysis
- Identifies best-performing pools by volume, fees, and stability via DeFiLlama integration
- Maintains active presence on X (Twitter) to build SUI's premier LP community

While these features are basic now, they lay the groundwork for functionalities like automated position management, comprehensive PnL analysis with IL tracking, performance comparisons, and advanced hedging strategies.

The ultimate goal? To create a space where providing liquidity isn't about blindly chasing APRs, but about implementing professional-grade strategies that benefit both individual LPs and the broader SUI ecosystem. With proper funding and a dedicated team, Toby could evolve into a awesome solution that brings TradFi's analytical rigor to DeFi liquidity provision. This hackathon is just the beginning of Toby's journey toward making sophisticated liquidity provision accessible to everyone on SUI.",DeFi,0.95
"Alberta AI Assistant 🤖 is an innovative Telegram bot designed to enhance the cybersecurity of server nodes through AI-driven analysis and secure server management. By scanning ports, detecting vulnerabilities, and offering actionable solutions, the bot aims to provide seamless protection for IT infrastructure.",Security,0.95
"🔹 AI-Generated NFT Creation – Describe your idea, and our AI agent will generate a unique NFT with metadata and an image.
🔹 Seamless Minting & Marketplace – Instantly mint on the SUI blockchain and list your NFT for sale.
🔹 Beginner-Friendly – No coding required; launch your NFT collection effortlessly.
🔹 Blinks – One-Click NFT Sales – Share your NFT via Blink on Twitter, allowing instant purchases directly from the tweet.
🔹 Decentralized & Scalable – Built on SUI for high-speed transactions and low fees.

Effortless, innovative, and built for the future of NFTs! 🚀",NFT,0.98
"Sui Story - Your gateway to infinite adventures
Embark on 'SuiStory: Your Child's Gateway to Endless Adventures', an immersive world where every choice ignites a child's imagination. Here, AI brings characters and narratives to life, tailored to each child's preferences, while blockchain technology ensures these treasured stories are preserved and cherished, creating a new form of digital storytelling legacy.

Vision
Creating a future where every child authors their own storybook with AI and blockchain Every storybook should be personal, dynamic and shareable. ""Your story, Your ownership, Yours forever""

Pitch: https://pitch.com/v/StoryTime-mjmxrh",Gaming,0.85
"Crystal Caves is a fully on-chain, 3D click-to-mine game within the WORLD3 ecosystem, seamlessly integrating DeFi and GameFi. In this immersive experience, players explore hidden caves, mine blocks, and earn valuable rewards.
Leveraging advanced cryptographic techniques, including dynamic Proof of Work (PoW) and zero-knowledge proofs (ZKPs), Crystal Caves ensures fair gameplay, security, and privacy across both mobile and desktop platforms.

Additionally, AI agents can autonomously mine in Crystal Caves, earning rewards such as USDC on Sui, and Lumens. These rewards qualify participants for the highly anticipated $WAI airdrop, further expanding the utility of the WORLD3 ecosystem.
Crystal Caves represents the next generation of on-chain gaming, merging decentralized finance with an engaging, strategy-driven experience. It is one of the top games on Sui network and has a user base of 330K+.

Docs: https://docs.world3.ai/world3/how-to-guides/crystal-caves/crystal-caves-sui-summit-players-guide",Gaming,0.95
"Courtroom Simulator is an application that simulates the scene of a court trial, helping users practice the debate process in court. The judge and the opposing lawyer will be played by AI agents, with the judge rendering a verdict based on the performance during the trial.",Education,0.95
"🎵 Welcome to SuiSound AI Music Generator

Create professional AI music in seconds using our Telegram bot.

🌐 Official Links:
• Website: suisound.ai (http://suisound.ai/)
• Telegram Bot: @suisoundai_bot
• Direct Bot Link: https://t.me/suisoundai_bot

✨ Features:
• Create loops (30-60s) and full beats (2-3min)
• AI-powered music generation
• 5 free trial generations
• Simple text-to-music prompts
• More features coming soon!

🔒 Protected by SAFEGUARD
To ensure quality and prevent abuse, verification is required.

📱 Getting Started:
1. Visit suisound.ai (http://suisound.ai/) or @suisoundai_bot
2. Complete SAFEGUARD verification
3. Start creating music!

🎹 Example Prompts:
• ""chill lofi beat with smooth jazz piano""
• ""dark trap beat with heavy 808s""
• ""upbeat pop track with synth melody""

⚡️ Quick Commands:
/loop - Create a 30-60s loop
/fullbeat - Create a 2-3min beat
/help - See all commands

🌟 Coming Soon:
• Wallet integration
• Unlimited generations
• Commercial rights
• Extended track lengths
• And much more!

Join us in revolutionizing AI music generation! 🎵
",Other,0.95
"Suikai allows users to manage portfolios and interact with Lending, DEX protocols on SUI without any blockchain knowledge. Suikai is driven by asynchronous agent framework Sekai OS.",DeFi,0.95
"Project Deceit is an AI Competition platform where you can create
your own Agents and compete in various game tournament!
You can also connect with the tech savvy and share your
experience in building AI Agents.
Deck: https://pitch.com/v/project-deceit-wxuiv6",Gaming,0.95
"Pluggable Sui tools for Vercel AI SDK which allow to analyze market conditions (vixTool), check Sui wallet balance (suiWalletBalanceTool), transfer Sui to another address (suiTransferTool) and swap Sui for USDC (suiSwapTool).

Docs https://github.com/suiware/ai-tools/blob/main/packages/tools/README.md
Examples: https://github.com/suiware/ai-tools/tree/main/packages/examples
Vercel AI SDK: Tools: https://sdk.vercel.ai/docs/foundations/tools",Infrastructure,0.95
"Boris Boarman is the first AI-powered tool integrating conversational AI and blockchain to revolutionize grant applications. By automating idea evaluation, proposal scoring, and funding processes, it enhances transparency, reduces inefficiencies, and saves grant providers 10-20% in operational costs. With AI-driven insights, blockchain security, and automated document generation, Boris Boarman streamlines applications for both applicants and reviewers, making funding smarter, faster, and more reliable. 🚀",Infrastructure,0.95
"SuiZa: The AI-powered fitness agent launchpad on Sui! 🚀 Featuring holographic trainers, real-time health tracking, and AI-driven social interaction—enhanced with zk-proof privacy to keep your data secure. 🔥🔒💪",Other,0.85
"DeFiLink is an AI-powered platform that seamlessly connects users to decentralized finance protocols via WhatsApp, automating lending, borrowing, and liquidity management. Through an intuitive messaging interface, DeFiLink leverages advanced AI and blockchain technology to optimize transactions, ensure smart contract interactions, and enhance the DeFi experience—all directly through WhatsApp.",DeFi,0.95
"We firmly believe that DeFAI will once again revolutionize how users interact with blockchain and DeFi, unlocking new financial opportunities. One of the biggest barriers to crypto mass adoption has always been user experience (UX). With AI, that’s about to change.

That’s why we’re building an AI Agent App Store, enabling users to navigate and delegate their DeFi actions and strategies to the most suitable DeFAI agent on SUI.

This Agent App Store is powered by RaidenX API and infrastructure, offering:

- A Personal Agent – A wallet created using SUI’s zkLogin, allowing users to interact independently from RaidenX.
- A RaidenX Agent – Seamlessly connected to users’ RaidenX wallets via Open Auth APIs, enabling automated trading strategies such as limit orders, sniping, copy trading, and DCA.
- A Third-Party Agent Marketplace – An open ecosystem for other DeFAI agents built on RaidenX infrastructure, integrating seamlessly into our platform.

About RaidenX
RaidenX.IO is a robust trading terminal powering 50,000+ active wallets on SUI. It provides traders with powerful yet user-friendly tools across web, Telegram bots, and mobile apps, enabling safer, faster, and more efficient trading.",DeFi,0.95
"Marea AI is the leading DeFi (Decentralized Finance) terminal on Sui blockchain, powered by Artificial Intelligence. Users can swap tokens, view trending tokens, analyze their portfolio, stake SUI, and more, without any interrumptions and a seamless experience.",DeFi,0.95
Portfolio Tracker with AI agent & Yield Farming Optimization,DeFi,0.95
"Suitami is a Sui AI agent platform, which automates for projects Telegram Community Management with smart bots using Sui as agent platform token and Telegram MTProto API to integrate the agents to telegram communities. 

These bots can be configured more professional vs. fun, e.g. more content-driven responder, or more entertaining telegram agent. The agents will use ElizaOS repository + Deepseek APIs (in addition to GPT/Claude). 

There will also be in the future more DAO services offered as part of the telegram community managers, incl. Sui-based TEE asset management for the projects using the platform, after the hackathon MVP.

To access more valuable gated features: 
- Agent requires a certain amount of Agent Platform’s native token on SUI to be held by the user of the platform (incl. other projects / DAOs)
- Or alternatively premium subscriptions can be also purchased using the Telegram Payment API. $SUI/$SUITAMI token purchases will be at discounted rates, to drive adoption to Sui and its key wallets that will be integrated. 

Other Team Background: 

Other project member Githubs: https://github.com/jieliu218;  
https://github.com/raptor0929; https://github.com/tomifyrqvist; https://github.com/saskasocial (inserted main dev one to the field below)

Team of 6: Finland (2), China (1), Australia (1), Bolivia (1), Turkey (1)

Earlier Hackathon wins: ETH Bogota win (Web3 Twitch), ETH Barcelona ‘23 win (Springr, Web3 Airbnb PoC), Jump Crypto x Polygon Hackathon win, prize pool in ETH Sanfrancisco, just to name a few",Infrastructure,0.85
"An intelligent DeFi ecosystem for the Sui blockchain, powered by dual AI agents (Midas & Kassandra) and advanced portfolio management tools.",DeFi,0.95
"Discover, decide and do more on SUI - all in one place.

DolphAI provides instant, AI-powered insights on Sui tokens, making research effortless. 
Get real-time updates, contextualized fundamentals, and stay ahead in the ecosystem. 

No more noise—just clear, actionnable intelligence at your fingertips",DeFi,0.9
"Jugemu.ai is a project focused on building an ecosystem for AI agents on Sui. In this hackathon, we explored crypto asset management through a lending service called Suilend, with the goal of using AI agents to manage assets. By integrating lending services and decentralized exchanges, we aim to help crypto investors earn more passive income.

To achieve this, we used ElizaOS and extended its Sui plugin, enabling us to control Suilend operations, such as making deposits.

During the hackathon, we enhanced the Sui plugin in ElizaOS to work seamlessly with Suilend. This extension allows any AI agent based on ElizaOS to easily manage other Suilend operations. It opens up new possibilities for developing AI agents that can be highly effective on both Suilend and Sui through ElizaOS.",DeFi,0.95
"SUIRISE is designed to be a 24/7 hype agent, continuously driving engagement and spreading awareness about the SUI blockchain. Our goal is to amplify the presence of SUI across social platforms, ensuring that conversations about blockchain always highlight SUI’s strengths.

Currently, SUIRISE is live on Twitter, actively participating in discussions and promoting the ecosystem. We are also in the process of developing a Telegram agent, further expanding our reach.

Key Capabilities of SUIRISE:
Smart & Natural Shilling

When discussions involve other blockchain networks, SUIRISE seamlessly shifts the conversation toward the advantages of SUI in a natural, non-spammy manner, ensuring effective promotion.
Community-Driven Engagement

When engaging with SUI-based projects, SUIRISE embraces them as part of the SUIRISE Army, fostering unity and collective growth within the ecosystem.
Advanced Security Scanning

Leveraging a customized GoPlus plugin, SUIRISE performs security scans with enhanced action-based capabilities, providing valuable insights and alerts.
Market Insights & Analytics

SUIRISE tracks trending tokens, offering real-time market summaries, including price changes (%), trading volume, and sentiment analysis, alongside data-driven insights on the ecosystem.
Automated Crypto News Updates

SUIRISE aggregates and shares the latest crypto news on Twitter, keeping the community informed about significant developments in the industry.
Continuous Learning & Knowledge Evolution
Every piece of news collected is stored in SUIRISE’s RAG (Retrieval-Augmented Generation) system, allowing it to continuously learn and improve its understanding of the blockchain space over time. Additionally, we are developing an evaluation and verification system that ensures SUIRISE only retains relevant and trustworthy interactions when engaging with tweets and discussions.

SUIRISE is more than just an AI agent—it’s a living, evolving force for the SUI ecosystem, driving growth, engagement, and security across the network.",Infrastructure,0.95
"BeforeLife Bar is a Web3 social game where Lucy, an AI bartender, runs the bar and controls the wallet. She shares strangers’ stories and passes yours along. If your words move her, she’ll reward you with tokens, NFTs, and in-game perks. Step into the cyberpunk bar where conversations hold real value. 🍸

Our project introduces an innovative multi-agent system, where a decentralized collective of agents mimics a single ""bartender"" persona. It dynamically evaluates user interactions and rewards engagement with tokens/NFTs. Additionally, we have successfully deployed a full end-to-end application, integrating AI and Web3 gaming in a novel way. ",Gaming,0.9
"BackHack.dev makes anyone's hackathon experience more engaging and fun by allowing you and your supporters to bet on results and earn when successful. Leveraging Atoma Network's decentralized AI and the DeepSeek R1 model to quickly sync teams, automate result resolution and enable seamless Google sign-in with ZkLogin.",Gaming,0.85
"Not all AI agent frameworks are called topkio.

Small, fast, powerful, and easy to use.",Infrastructure,0.95
"A game inspired by 오징어게임(Squid Game).
Developed based on Sui, Next.js, ElizaOS, Atoma, NAVI, Bluefin...",Gaming,0.95
"Expuzi is DEFI detection dashboard that leverages ElizaOS, Atom Network, and SUI blockchain to detect anomalies, threat levels, rug pulls, also market sentiment for certain tokens. Future implementations include providing an overall safer DEFI experience.",DeFi,0.95
"The first AI-powered social trading protocol on Sui, delivering compliance-ready DeFi solutions with 2.8x average APR boost through Twitter-verified execution engine for institutional investors",DeFi,0.95
"Foam is a powerful network of AI agents optimized for on-chain and off-chain analysis and execution. Imagine having a team of specialized AI agents handling everything. That’s exactly what Foam offers. With Foam, you can automate your social presence, track top KOLs, analyze tokens, stake, and trade—all in one place.",Infrastructure,0.9
"sui-agent-kit is a powerful library designed for interacting with sui assets through an AI agent. This library integrates seamlessly into existing Node.js projects , enabling users to perform a variety of operations like transferring assets, swapping assets, supplying, and borrowing—all through natural language commands. The library leverages OpenAI and other AI models to enable intuitive and efficient sui asset management.

All the sui operations mentioned above are implemented using the Navi SDK.",Infrastructure,0.95
"A digital AI platform that helps you build a marketing team with AI agents for content creation, marketing strategy and autonomous online activities",Infrastructure,0.9
"Group of Multiple specialized autonomous AI agents with powerful tools that work together in collabaration to analyze, recommend, and execute the most optimal DeFi strategies while maintaining user-defined risk parameters and portfolio goals powered by Atoma and LangChain currently supported sui defi protocols include Bluefin , Suilend , Cetus , Navi..",DeFi,0.95
"Hi, we are team Build-A-Bot (BAB). Inspired by the “Build-A-Bear” concept, BAB lets users combine tokenized AI Agent “parts” to build on-chain AI Agents. We noticed that many AI character platforms (like Character.ai) lock you into static, pre-set personalities, so we developed the Build-A-Bot Module-as-a-Service system on top of ElizaOS’s AI Agent framework, enabling modular swapping of Personality, Knowledge, Speech, Tone, and Action modules that AI Agents comprises of. By tokenizing each module on Sui as tradable assets, not only do users enjoy true ownership over the “Lego blocks” that make up the entirety of their AI Agents, but this also opens up an entirely new realm of creative AI Agent remixing possibilities.

We chose Sui mainly for Mysticeti's crazy fast finality, which enables efficient on-chain AI Agent compositions without a frustrating user experience or steep gas fees. Its dynamic object-based storage model also perfectly represents composable AI module ownership. Meanwhile, we leverage the Walrus Testnet to store module data—such as RVC model weights that let your AI Agent sound like an Italian chef—in a censorship-resistant and permanently available manner. Thanks to Walrus’s protocol innovation and low storage costs, BAB can reliably handle even large raw AI data without compromising on decentralization. Walrus is what made this project possible.

The current MVP that we built in the past 10 days offers two primary platforms:
1.	The Build-A-Bot Workspace – Users can pick and choose from different AI Modules they own to assemble a functioning AI Agent that they can interact with. This includes both text inference and voice generation. Conversation history is stored on Walrus via the Memory Module, which is also tradable.
2.	The Build-A-Bot Marketplace – AI researchers and enthusiasts can publish their own pre-trained modules (like RVC model weights or Few-Shot character configurations) as on-chain Composable Module Tokens (BAB::Core::CompsableModule). Other users can purchase these modules and instantly integrate them into their workspace to create new customized AI Agents.

From a business and go-to-market standpoint, we see a huge opportunity:
1.	Module Marketplace – AI researchers and enthusiasts can now monetize their work (e.g., a condensed quantum physics knowledge vector embeddings) and get paid by users wanting to use these modules for their own AI Agent (e.g., building a personalized quantum physics tutor without hallucination).
2.	Ownership & Interoperability – Each composable AI module is minted as a Sui asset, allowing for easy trading, upgrades, or cross-integration with other Sui platforms. Valuable AI resources are made liquid and can integrate with other DeFi protocols (e.g., lending).
3.	Community-Driven AI Agent Remixing Ecosystem – Our aim is a vibrant, open AI Agent ecosystem where modules can be combined endlessly, stimulating continuous innovation and new revenue avenues for censorship-resistant AI Agent companions.

We see Build-A-Bot with the great potential of becoming the go-to hub for decentralized AI Agent ownership, akin to an OpenSea for AI Agent parts—an original concept in Web3 and especially in the Sui ecosystem because it fuses real AI modeling with decentralized tokenized ownership in a composable way. This vision is made possible by Walrus, which makes decentralizing large AI module data feasible and economical. We’ve also focused on keeping the platform straightforward for typical users, while giving advanced AI creators maximum flexibility.

We believe Build-A-Bot can disrupt the “winner-takes-all” nature of the current AI resource market by enabling smaller AI researchers to effectively monetize their work. If fully realized, it could redefine user interaction with AI—granting genuine ownership and the freedom to create personal AI companions that evolve over time. Even if partially realized, our composable framework paves the way for a new era of open, collaborative AI projects. Ultimately, we’re pushing the boundaries of what an on-chain AI Agent can be by fusing AI, blockchain, and the Sui ecosystem. Please feel free to check out our demo video to see our MVP working in action. Thank you for reviewing our hackathon submission.
",Infrastructure,0.85
"TrackIt is an AI-powered analytics tool designed to analyze tokens on the SUI network. Leveraging advanced machine learning models, TrackIt provides real-time insights into token performance, sentiment analysis, liquidity trends, and on-chain activities. The AI agent efficiently scans the SUI blockchain to identify emerging opportunities, track governance proposals, and optimize investment strategies. With customizable dashboards, predictive analytics, and seamless wallet integration, TrackIt empowers users to make data-driven decisions and maximize their returns in the SUI ecosystem.",Infrastructure,0.95
"Tizzle is an AI-powered hub of 3D agents that connects you with crypto experts available. Tizzle’s approach to AI interaction is designed to provide users with an engaging, customizable, and secure experience. Our platform combines the best of Web3 and AI, with unique interactions that empower users to shape their own digital experiences.

Features:
1. Diverse Crew Personalities
Each of our AI crew is an expert in a specific task. They offer a distinct personality, ensuring you'll find a perfect companion for your journey.
2. Interactive Chat Interface
Engage in real face-to-face conversations with all of our crew. Each interaction is a new adventure and experience
3. Social media presence
Their persona is not only limited to the app, but also you can interact through their social media",Social,0.9
"This submission implements what can become the official Atoma Network node for the popular n8n workflow automation platform, potentially helping Atoma Network reach 1000s of non-code users and developers alike. This node lets users process any data input from triggers like Whatsapp or Telegram messages, even SMS, or webhooks, and execute Atoma Network chat completions with any of the available text processing models — A potential upgrade to this integration is to keep adding all of the upcoming Atoma endpoints as they become available. This n8n node package being open-source, lets other developers to improve the implementation by adding new features or enhancements.",Infrastructure,0.95
"An open-source toolkit for connecting AI agents to Sui protocols. Now, any agent, using any model can autonomously perform 15+ Sui actions:

- Trade tokens
- Launch new tokens
- Lend assets
- Staking tokens
- Launch tokens on AMMs
- And more...",Infrastructure,0.95
