Judge Name:,John Doe,,,,,,,"See criteria descriptions on the right
--------------> ",Judging Rubric and Descriptions,,,,,,,,,
Track to Assess:,Defi,,,,,,,,,,,,,,,,,
Atoma Network n8n Community Node Integration,4,4,4,3,15.00,38%,3.75,,Solution complexity and sophistication,"Judges assess the completeness and sophistication of the implementation of the agent. How much of the functionality is implemented? How correct is the implementation? How innovative is the usage of Sui features within the agent?

Teams are judged on the technical implementation of the agent, as distinct from the concept or user experience. While usability and interface design are relevant in other categories, this section focuses on the technical execution. For example, a well-coded agent that effectively leverages Sui’s unique features, such as composability or low latency, would score higher than one with a basic or generic implementation.

Agents should have a roughly complete and correct implementation to achieve a top score, but innovation in using Sui-specific features can further elevate the score. This could include leveraging Sui’s object composability, Move language capabilities, zkSend, dynamic fields, or designing for Sui’s low gas fees, high throughput, and low latency. An agent that goes beyond basic functionality to creatively integrate these features demonstrates strong technical sophistication.",,,,"- How much of the agent’s functionality is completed?
- What is the overall code quality of the implementation?
- How correct and reliable is the implementation? Are there any obvious bugs or errors in the final version?
- How “finished” and maintainable is the agent? Could it be further developed or scaled with ease?
- Has the agent effectively leveraged Sui’s unique features to create capabilities that are only possible on Sui? Examples include object composability, dynamic fields, zkSend, or low-latency/high-throughput design.",,,,"0-3 (poor): A poor technical implementation is absent, completely incorrect, or critically broken. Core agent workflows do not function as intended. There is minimal or no testing, code quality is abysmal, and maintenance is either nonexistent or infeasible."
sui-agent-kit,5,6,6,5,22.00,55%,5.50,,,,,,,,,,,
IVAN AI,6,5,5,6,22.00,55%,5.50,,,,,,,,,,,"3-6 (mediocre): A mediocre technical implementation works, but with significant limitations. Core agent functionality exists but may be partially broken or implemented poorly. Some workflows may not function, and the implementation may be overly buggy or lack maintainability. An agent that minimally uses Sui features without innovation, or mimics standard approaches without leveraging Sui’s unique capabilities, falls into this category.
"
SUI AI COIN,3,3,3,3,12.00,30%,3.00,,,,,,,,,,,
BeforeLife,4,5,4,4,17.00,43%,4.25,,,,,,,,,,,
VCMilei,5,4,4,3,16.00,40%,4.00,,,,,,,,,,,
EverionAI,6,5,4,5,20.00,50%,5.00,,,,,,,,,,,"6-9 (good): A good technical implementation works well, with minor or rare bugs. The agent adheres to Sui conventions and best practices, with reasonable code quality and sufficient testing. Testing processes are automated, and the implementation demonstrates signs of maintainability. Clever or innovative use of Sui’s unique features, such as dynamic fields or zkSend, can elevate an otherwise standard implementation to this level. 
"
H2O Bounty,4,4,3,3,14.00,35%,3.50,,,,,,,,,,,
Agent Builder / 🤖 Ava the Portfolio Managing AI Agent,8,8,7,7,30.00,75%,7.50,swarm of agents is cool concept if it can be implemented well (agent-to-agent communication and each agent can truly be good at what it is specialised in doing),,,,,,,,,,
DeepBookAI,5,5,5,5,20.00,50%,5.00,,,,,,,,,,,
Flyfish agent,6,5,4,5,20.00,50%,5.00,,,,,,,,,,,
DexterAI,5,5,5,5,20.00,50%,5.00,,,,,,,,,,,
RIFT,7,5,5,3,20.00,50%,5.00,,,,,,,,,,,"10 (exceeding): An exceptional technical implementation is elegant, thoroughly tested, fully documented, and easy to maintain. The agent leverages Sui’s unique capabilities in creative ways that go beyond standard approaches, potentially showcasing use cases that even the ecosystem’s creators may not have anticipated. A truly exceeding implementation blends technical brilliance with innovation, setting a benchmark for quality and creativity.
"
OpenGraph : TensorflowSui,8,8,7,7,30.00,75%,7.50,"really cool to see fully on-chain inference, although the high latency will limit the use cases",,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,Real-world utility and impact,"Judges assess the real-world utility and potential impact of the agent. How effectively does the agent address a meaningful problem? How relevant is the agent’s functionality in real-world scenarios? How well does it create tangible value for users or ecosystems?

Teams are judged on the agent's ability to provide a practical, scalable, and impactful solution. While technical implementation is considered in other categories, this section focuses on the real-world implications and benefits of the agent. For example, an agent that solves a widespread pain point or offers innovative solutions with clear utility would score higher than one with limited or niche use cases.

Agents should demonstrate a clear understanding of the problem they aim to solve and their broader implications for users or systems. Amplify their real-world relevance can elevate the score. An agent that aligns strongly with user needs while showcasing significant potential for adoption and scalability represents strong real-world utility and impact.",,,,"- At a high level, how effectively does this agent address real-world needs or challenges?
- Are there unique factors or attributes not captured in other criteria that significantly enhance the agent’s utility or merit?
- Does the agent integrate multiple aspects of functionality, design, or innovation in a way that strengthens its overall utility and impact?
- How scalable and adaptable is the agent for broader use cases or future development?
- How well does the agent balance technical innovation with practical, real-world application?",,,,"0-3 (poor): The agent has minimal or no real-world utility. It fails to address any meaningful problem or provide tangible value. The concept may lack scalability, clear use cases, or practical applications, and it doesn’t leverage Sui’s unique features in a meaningful way."
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,"3-6 (mediocre): The agent shows some potential for real-world utility but is limited in its scope, execution, or relevance. It may address a minor problem or niche use case but lacks scalability or broader applicability. While there may be some use of Sui’s features, it is either superficial or underwhelming."
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,"6-9 (good): The agent demonstrates clear real-world utility and effectively addresses a meaningful problem. It is scalable and relevant, with strong potential for adoption in the Sui ecosystem or beyond. The agent leverages Sui’s unique features, such as composability or low-latency design, in a thoughtful way to enhance its impact."
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,"10 (exceeding): The agent is a game-changing solution with exceptional real-world utility and impact. It addresses a significant problem or creates entirely new opportunities in a way that is scalable, relevant, and innovative. The agent fully capitalizes on Sui’s unique capabilities to deliver value that would be impossible otherwise. It sets a benchmark for what agents can achieve, with extraordinary potential for adoption and influence."
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
,0,0,0,0,0.00,0%,0.00,,,,,,,,,,,
